Actor1Name	EventCode	RelationName	Actor2Name	day	timid	ce_id	Md5	Md5_list	URL	URL_list	atomic_events	timespan	timdiff	relative_time	is_Uniform	is_drop
Israel	010	Make optimistic comment	Egypt	2015-02-19	0	7	41fdbcdb86e8ce3057d6998584fdc202	41fdbcdb86e8ce3057d6998584fdc202	http://www.jta.org/1987/02/19/archive/shamir-urges-egypt-to-convince-arab-countries-to-negotiate-with-israel	['http://www.jta.org/1987/02/19/archive/shamir-urges-egypt-to-convince-arab-countries-to-negotiate-with-israel']	65	54	0.0	0.0	True	False
Egypt	020	Appeal for military cooperation	Israel	2015-02-22	3	7	7b82771736f6efbbf6acb0b7efc02557	7b82771736f6efbbf6acb0b7efc02557	http://www.palestinechronicle.com/egypt-ready-to-protect-israel-sisi-says/	['http://www.palestinechronicle.com/egypt-ready-to-protect-israel-sisi-says/']	65	54	3.0	3.0	True	False
Israel government	040	Make a visit	Egypt government	2015-02-22	3	7	f56143e27ec1e4a0fe31475245f4a9da	f56143e27ec1e4a0fe31475245f4a9da	http://www.jta.org/1971/02/22/archive/cabinet-calls-on-egypt-to-continue-with-talks-in-order-to-reach-peace-agreement	['http://www.jta.org/1971/02/22/archive/cabinet-calls-on-egypt-to-continue-with-talks-in-order-to-reach-peace-agreement']	65	54	0.0	3.0	True	False
Israel	030	Express intent to cooperate economically	Egypt	2015-02-22	3	7	f56143e27ec1e4a0fe31475245f4a9da	f56143e27ec1e4a0fe31475245f4a9da	http://www.jta.org/1971/02/22/archive/cabinet-calls-on-egypt-to-continue-with-talks-in-order-to-reach-peace-agreement	['http://www.jta.org/1971/02/22/archive/cabinet-calls-on-egypt-to-continue-with-talks-in-order-to-reach-peace-agreement']	65	54	0.0	3.0	True	False
Egypt	010	Decline comment	Israel	2015-02-24	5	7	7bf313059ea104c5254c9cf030f84181	7bf313059ea104c5254c9cf030f84181, c20fadc81cb781ce650a265858ecaf24	http://www.timesofisrael.com/how-jimmy-carter-vetoed-the-first-israeli-envoy-requested-by-sadat/	['http://www.timesofisrael.com/how-jimmy-carter-vetoed-the-first-israeli-envoy-requested-by-sadat/', 'http://www.jta.org/1982/02/24/archive/egyptian-israel-foreign-ministers-pledge-continuing-peace-efforts']	65	54	2.0	5.0	True	False
Israel	030	Express intent to engage in diplomatic cooperation (such as policy support)	Egypt	2015-02-24	5	7	d490a6ed414df91a602810c342aae4b9	d490a6ed414df91a602810c342aae4b9	http://www.jta.org/1972/02/24/archive/starting-point-for-israel-egypt-peace-talks-eban-suggests-sharm-el-sheikh-and-power-balance-in-the-m	['http://www.jta.org/1972/02/24/archive/starting-point-for-israel-egypt-peace-talks-eban-suggests-sharm-el-sheikh-and-power-balance-in-the-m']	65	54	0.0	5.0	True	False
Israel	010	Decline comment	Egypt	2015-02-24	5	7	7bf313059ea104c5254c9cf030f84181	7bf313059ea104c5254c9cf030f84181	http://www.timesofisrael.com/how-jimmy-carter-vetoed-the-first-israeli-envoy-requested-by-sadat/	['http://www.timesofisrael.com/how-jimmy-carter-vetoed-the-first-israeli-envoy-requested-by-sadat/']	65	54	0.0	5.0	True	False
Israel	010	Decline comment	Egypt	2015-02-26	7	7	218d3d3e63aecf8ca2e3593e0b092520	218d3d3e63aecf8ca2e3593e0b092520	http://www.jta.org/1982/02/26/archive/shamir-convinced-peace-process-will-continue-after-april-26	['http://www.jta.org/1982/02/26/archive/shamir-convinced-peace-process-will-continue-after-april-26']	65	54	2.0	7.0	True	False
Israel	010	Decline comment	Egypt	2015-02-27	8	7	c0ad131ff5ad84196e57f74e8763335c	c0ad131ff5ad84196e57f74e8763335c	http://www.jta.org/1987/02/27/archive/israeli-coalition-crisis-on-hold-as-peres-sets-2nd-mubarak-meeting	['http://www.jta.org/1987/02/27/archive/israeli-coalition-crisis-on-hold-as-peres-sets-2nd-mubarak-meeting']	65	54	1.0	8.0	True	False
Egypt	040	Engage in negotiation	Israel	2015-02-28	9	7	30372e8ad02c101e80a46f1f20466b32	30372e8ad02c101e80a46f1f20466b32	http://www.jta.org/1978/02/28/archive/israel-returns-to-egypt-revised-proposals-for-joint-declaration	['http://www.jta.org/1978/02/28/archive/israel-returns-to-egypt-revised-proposals-for-joint-declaration']	65	54	1.0	9.0	True	False
