Subject	Relation_id	Relation_choice	Object	Md5	Trunk	ID
Russia	061	Cooperate economically	Iran	f14abb21b240ae1961b7cce2f2cf5219	[1:0:4]	0
Iranian Petroleum Contract	061	Cooperate economically	National Iranian Oil Company (NIOC)	f14abb21b240ae1961b7cce2f2cf5219	[1:0:4]	1
Russia	061	Cooperate economically	Azerbaijan	f14abb21b240ae1961b7cce2f2cf5219	[3:8:10]	2
Russia	061	Cooperate economically	Iran	f14abb21b240ae1961b7cce2f2cf5219	[3:8:10]	3
Azerbaijan	061	Cooperate economically	Iran	f14abb21b240ae1961b7cce2f2cf5219	[3:8:10]	4
Lukoil	061	Cooperate economically	Russia	f14abb21b240ae1961b7cce2f2cf5219	[3:8:10]	5
Russia	061	Cooperate economically	Lukoil	f14abb21b240ae1961b7cce2f2cf5219	[3:8:10]	6
Russia	061	Cooperate economically	Iran	f14abb21b240ae1961b7cce2f2cf5219	[6:17:18]	7
Iran	061	Cooperate economically	Russia	f14abb21b240ae1961b7cce2f2cf5219	[6:17:18]	8
Iran	062	Cooperate militarily	Iraq	ef7b42b3c1ee7bd0ce40b802152f114b	[1:0:7]	9
Qassem Soleimani	062	Cooperate militarily	Hashid Shaabi	ef7b42b3c1ee7bd0ce40b802152f114b	[1:0:7]	10
Iranian advisers	062	Cooperate militarily	Iraqi forces	ef7b42b3c1ee7bd0ce40b802152f114b	[1:0:7]	11
Iranian-backed Shiite militias	062	Cooperate militarily	Iraqi forces	fccdf9bbc2d46ed14992498b072b77aa	[2:3:4]	12
Israel	060	Engage in material cooperation	Qatar	570b79e54b9852aef2da1f9877caf42d	[3:6:8]	13
BOTAŞ Petroleum Pipeline Corporation	061	Cooperate economically	Iran	c943d2bb928b6e61d0e5fa297d988422	[1:0:0]	14
Iran	061	Cooperate economically	foreign companies	b7363a7a2211231fa38c4ddfa3dad213	[2:4:6]	15
Baghdad	062	Cooperate militarily	U.S.-led coalition	fae1ae044e80f1c68fe81ef3e55ba62c	[4:12:16]	16
Baghdad	062	Cooperate militarily	Iran	fae1ae044e80f1c68fe81ef3e55ba62c	[4:12:16]	17
Egyptian general prosecution	063	Engage in judicial cooperation	Italian prosecutors	1559988319c4a68ca53734f67898ca2b	[1:0:3]	18
United States	064	Share intelligence or information	IAEA and Iran for release of the document in question	a06e8140df48d686a321a8a42fc43dfb	[2:2:8]	19
Iran	061	Cooperate economically	International companies	38f211b5d1b40f012dc4d5720398b019	[0:0:0]	20
Russia	060	Engage in material cooperation	Syria	e6b97cbe11efc649a08895cb9eb04237	[1:0:9]	21
Russia	060	Engage in material cooperation	Iran	17ed839a0f2896a0336edb57b66c19ec	[3:5:11]	22
Iran	060	Engage in material cooperation	International agreements	15348d9870dcb74619e01542df059860	[4:7:9]	23
Hezbollah	060	Engage in material cooperation	State of Israel	15348d9870dcb74619e01542df059860	[6:12:13]	24
Hamas	060	Engage in material cooperation	State of Israel	15348d9870dcb74619e01542df059860	[6:12:13]	25
Iran	061	Cooperate economically	World powers	d3260d36d9d6cbf240f5ca06d2fbb1f4	[3:10:10]	26
Iran	060	Engage in material cooperation	Shiite militias	0131a7afe70beeca0517bd8ac2cd8a51	[6:21:22]	27
Russia	062	Cooperate militarily	Syria	0131a7afe70beeca0517bd8ac2cd8a51	[7:23:28]	28
Palestinians	061	Cooperate economically	Memory of terrorists	2580a8bcdb7e88f97b0e4302b3a5a4b5	[5:8:9]	29
Hamas	062	Cooperate militarily	Border-protecting unit	a5e56464469a02c257218c9b09d3ceb6	[2:3:6]	30
Hamas	062	Cooperate militarily	Nukhba force	a5e56464469a02c257218c9b09d3ceb6	[5:12:14]	31
Hamas	062	Cooperate militarily	Naval commando unit	a5e56464469a02c257218c9b09d3ceb6	[5:12:14]	32
Hamas	062	Cooperate militarily	ISIS	a5e56464469a02c257218c9b09d3ceb6	[8:20:22]	33
Iran	061	Cooperate economically	China	d54a0c23a52df92b016b45867b73b25b	[1:0:4]	34
Iran	061	Cooperate economically	China	d54a0c23a52df92b016b45867b73b25b	[2:5:9]	35
Iran	061	Cooperate economically	China	d54a0c23a52df92b016b45867b73b25b	[2:5:9]	36
China	061	Cooperate economically	Iran	d54a0c23a52df92b016b45867b73b25b	[3:10:14]	37
Iran	061	Cooperate economically	China	d54a0c23a52df92b016b45867b73b25b	[3:10:14]	38
Iran	061	Cooperate economically	China in nuclear sector	d54a0c23a52df92b016b45867b73b25b	[3:10:14]	39
China oil companies	061	Cooperate economically	oil projects overseas	d54a0c23a52df92b016b45867b73b25b	[4:15:16]	40
Iran	061	Cooperate economically	global business community	d54a0c23a52df92b016b45867b73b25b	[4:15:16]	41
Hamas	062	Cooperate militarily	Egyptian officials	584adcf6b76ceabd5aafe822da42a901	[1:0:3]	42
Israel	061	Cooperate economically	Turkmenistan	c796df674b4a25531080927b1d9fc871	[2:7:8]	43
Iran	062	Cooperate militarily	Russia	876e7c1ae28dd52cb5e15493873f8eaf	[0:0:0]	44
Iran	062	Cooperate militarily	Russia	876e7c1ae28dd52cb5e15493873f8eaf	[2:3:5]	45
Iran	060	Engage in material cooperation	Russia	876e7c1ae28dd52cb5e15493873f8eaf	[3:6:7]	46
Iran	062	Cooperate militarily	Zulfiqar battle tanks, Shahab-3 ballistic missiles, Moudge-class frigates	876e7c1ae28dd52cb5e15493873f8eaf	[5:11:11]	47
Iran	062	Cooperate militarily	Russia	aff8686f70665b7d440e65c6c55327e1	[1:0:5]	48
Russian President Vladimir Putin	060	Engage in material cooperation	Hezbollah	aff8686f70665b7d440e65c6c55327e1	[2:6:8]	49
Russian President Dmitry Medvedev	060	Engage in material cooperation	UN	aff8686f70665b7d440e65c6c55327e1	[2:6:8]	50
Assad's regime	062	Cooperate militarily	Russian air force	2495a4f7925b2a72c8ab394500733432	[3:5:6]	51
Assad's regime	062	Cooperate militarily	Iranian ground troops	2495a4f7925b2a72c8ab394500733432	[3:5:6]	52
Russia	0831	Accede to demands for change in leadership	Assad's forces	2495a4f7925b2a72c8ab394500733432	[3:5:6]	53
US-led coalition	062	Cooperate militarily	Iraqi forces	2495a4f7925b2a72c8ab394500733432	[6:11:13]	54
U.S.-led coalition	062	Cooperate militarily	Mosul defense	2495a4f7925b2a72c8ab394500733432	[7:14:16]	55
ISIS	061	Cooperate economically	oil fields near Sirte	2495a4f7925b2a72c8ab394500733432	[11:24:24]	56
Russia	061	Cooperate economically	Saudi Arabia	7fe9de5d375da4cdce60aa3c0ebe2850	[1:0:3]	57
International Atomic Energy Agency (IAEA)	062	Cooperate militarily	Iran	aaa50d6dde764f6a659166a8f7371353	[1:0:5]	58
China	060	Engage in material cooperation	Middle Eastern countries	dc7ad493c6ad6346881ac959dc30d212	[0:0:0]	59
President of China Xi Jinping	061	Cooperate economically	Saudi Arabia	dc7ad493c6ad6346881ac959dc30d212	[1:0:4]	60
Saudi Arabia	1055	Demand to allow non-mediatory international involvement	President of China Xi Jinping	dc7ad493c6ad6346881ac959dc30d212	[1:0:4]	61
President of China Xi Jinping	061	Cooperate economically	Iran	dc7ad493c6ad6346881ac959dc30d212	[1:0:4]	62
Iran	061	Cooperate economically	President of China Xi Jinping	dc7ad493c6ad6346881ac959dc30d212	[1:0:4]	63
President of China Xi Jinping	060	Engage in material cooperation	Egypt	dc7ad493c6ad6346881ac959dc30d212	[1:0:4]	64
Egypt	060	Engage in material cooperation	President of China Xi Jinping	dc7ad493c6ad6346881ac959dc30d212	[1:0:4]	65
King Salman	061	Cooperate economically	President of China Xi Jinping	dc7ad493c6ad6346881ac959dc30d212	[1:0:4]	66
President of China Xi Jinping	061	Cooperate economically	King Salman	dc7ad493c6ad6346881ac959dc30d212	[1:0:4]	67
China	061	Cooperate economically	Iran	dc7ad493c6ad6346881ac959dc30d212	[1:0:4]	68
Iran	061	Cooperate economically	China	dc7ad493c6ad6346881ac959dc30d212	[1:0:4]	69
China	061	Cooperate economically	Saudi Arabia	41bfc3d661a013f5945225e226e76068	[1:0:1]	70
President Xi Jinping	061	Cooperate economically	Iran	41bfc3d661a013f5945225e226e76068	[1:0:1]	71
China	062	Cooperate militarily	Iran	41bfc3d661a013f5945225e226e76068	[4:7:9]	72
China	061	Cooperate economically	Iran	41bfc3d661a013f5945225e226e76068	[6:12:15]	73
Israel	062	Cooperate militarily	South Lebanon	306f25bc94c6100fe5d61f6d3f54d1cf	[2:4:5]	74
Shiite Militias	062	Cooperate militarily	Iraq	6b5912523b99524e93d4ac1693956968	[0:0:0]	75
Iran	062	Cooperate militarily	Iraq	6b5912523b99524e93d4ac1693956968	[0:0:0]	76
IRGC’s Quds Force	1232	Reject request to change policy	Iran-backed Shiite militias	6b5912523b99524e93d4ac1693956968	[1:0:5]	77
Islamic State	060	Engage in material cooperation	Iraq	0010f80bdb6041d60affd52947e07c17	[6:13:13]	78
Islamic State	060	Engage in material cooperation	Syria	0010f80bdb6041d60affd52947e07c17	[6:13:13]	79
IDF	064	Share intelligence or information	tunnel detection efforts	ef27b79edbb3edea40c50ad42bd2b334	[4:9:11]	80
Hamas military leadership	062	Cooperate militarily	mortar fire	ef27b79edbb3edea40c50ad42bd2b334	[5:12:14]	81
Iran	061	Cooperate economically	Europe	e82332d5a8c92723b89064fa04fd9bb0	[0:0:0]	82
