Subject	Relation_id	Relation_choice	Object	Md5	Trunk	ID
Iranian Petroleum Contract	061	Cooperate economically	National Iranian Oil Company	f14abb21b240ae1961b7cce2f2cf5219	[1:0:4]	1
Russia	1054	Demand easing of economic sanctions, boycott, or embargo	Azerbaijan	f14abb21b240ae1961b7cce2f2cf5219	[3:8:10]	2
Israel	060	Engage in material cooperation	Qatar	570b79e54b9852aef2da1f9877caf42d	[3:6:8]	13
City	062	Cooperate militarily	U.S.-led coalition	fae1ae044e80f1c68fe81ef3e55ba62c	[4:12:16]	16
Egypt	063	Engage in judicial cooperation	Italian prosecutors	1559988319c4a68ca53734f67898ca2b	[1:0:3]	18
Russia	060	Engage in material cooperation	Syria	e6b97cbe11efc649a08895cb9eb04237	[1:0:9]	21
Hezbollah	060	Engage in material cooperation	State of Israel	15348d9870dcb74619e01542df059860	[6:12:13]	24
Hamas and Mohammed Dahlan	060	Engage in material cooperation	State of Israel	15348d9870dcb74619e01542df059860	[6:12:13]	25
Russia	062	Cooperate militarily	Syria	0131a7afe70beeca0517bd8ac2cd8a51	[7:23:28]	28
Hamas and Mohammed Dahlan	062	Cooperate militarily	Nukhba force	a5e56464469a02c257218c9b09d3ceb6	[5:12:14]	31
Hamas and Mohammed Dahlan	062	Cooperate militarily	Naval commando unit	a5e56464469a02c257218c9b09d3ceb6	[5:12:14]	32
Hamas and Mohammed Dahlan	062	Cooperate militarily	Egyptian officials	584adcf6b76ceabd5aafe822da42a901	[1:0:3]	42
Israel	1055	Demand to allow non-mediatory international involvement	Iran-Turkmenistan	c796df674b4a25531080927b1d9fc871	[2:7:8]	43
Vladimir Putin	060	Engage in material cooperation	Hezbollah	aff8686f70665b7d440e65c6c55327e1	[2:6:8]	49
Assad regime	062	Cooperate militarily	Russian Air Force	2495a4f7925b2a72c8ab394500733432	[3:5:6]	51
Assad regime	062	Cooperate militarily	Iranian ground troops	2495a4f7925b2a72c8ab394500733432	[3:5:6]	52
Russia	062	Cooperate militarily	Government forces	2495a4f7925b2a72c8ab394500733432	[3:5:6]	53
Israel	062	Cooperate militarily	South Lebanon	306f25bc94c6100fe5d61f6d3f54d1cf	[2:4:5]	74
IRGC's Quds Force	1952	Employ remotely piloted aerial munitions	Iran-backed	6b5912523b99524e93d4ac1693956968	[1:0:5]	77
Islamic State	060	Engage in material cooperation	Syria	0010f80bdb6041d60affd52947e07c17	[6:13:13]	79
Iranian Transport and Urban Development Minister Abbas Akhoundi	061	Cooperate economically	Rashid Meredov	a34cd850f0fb3a568c881e0eb35a4034	[1:0:5]	88
Israeli military forces	062	Cooperate militarily	Gaza Strip	2cb19fdecf23867d3fcc8aabe73a9a76	[2:5:5]	91
Hamas and Mohammed Dahlan	062	Cooperate militarily	Islamic Jihad and Popular Resistance Committees	5a5968d4daf4973283b186662fcf9a82	[2:3:6]	97
Hamas and Mohammed Dahlan	062	Cooperate militarily	Israel	5a5968d4daf4973283b186662fcf9a82	[2:3:6]	98
al-Qassam Brigades	062	Cooperate militarily	Islamic Jihad and Popular Resistance Committees	5a5968d4daf4973283b186662fcf9a82	[3:7:8]	99
Hamas and Mohammed Dahlan	062	Cooperate militarily	Islamic Jihad and Popular Resistance Committees	5a5968d4daf4973283b186662fcf9a82	[5:11:12]	100
Hamas and Mohammed Dahlan	062	Cooperate militarily	Islamic Jihad and Popular Resistance Committees	5a5968d4daf4973283b186662fcf9a82	[6:13:14]	101
The United States	060	Engage in material cooperation	Arab states	1aa94ef710e6a3349261a2fec419f14a	[1:0:1]	107
Iranian-supported	1232	Reject request to change policy	Islamic State	71965d77ed886dcd54c9262c7bae06c1	[1:0:1]	114
Iraqi Forces	062	Cooperate militarily	Iranian-supported	71965d77ed886dcd54c9262c7bae06c1	[2:2:4]	115
Hamas and Mohammed Dahlan	060	Engage in material cooperation	Gaza tunnels	1b1823f5eb6f7a02b8e79e7aaa452a88	[7:21:22]	120
Pakistan State Oil	061	Cooperate economically	United Arab Emirates	283f55d74be68619b0a5f8a66981ef15	[1:0:0]	126
Hamas and Mohammed Dahlan	060	Engage in material cooperation	Israel	1b61e4ddc0a1b2669143b215fa182477	[1:0:2]	140
Israel	060	Engage in material cooperation	Hamas and Mohammed Dahlan	1b61e4ddc0a1b2669143b215fa182477	[3:7:10]	141
Israel	060	Engage in material cooperation	Hamas and Mohammed Dahlan	1b61e4ddc0a1b2669143b215fa182477	[4:11:12]	142
Pertamina	061	Cooperate economically	National Iranian Oil Company	2c1158e76a54407b3bcc692414fd91e0	[1:0:2]	148
Pertamina	061	Cooperate economically	National Iranian Oil Company	2c1158e76a54407b3bcc692414fd91e0	[2:3:6]	149
NIOC	061	Cooperate economically	Indonesia	2c1158e76a54407b3bcc692414fd91e0	[2:3:6]	150
Turkey's Foreign Ministry	060	Engage in material cooperation	Israel	7200742766bb4f2738555b0f9fdde208	[2:3:6]	152
Kyrgyz officials	061	Cooperate economically	Iranian officials	db7a1b023f0c9fc20347931859c0c506	[1:0:4]	155
Israeli authorities	061	Cooperate economically	Hamas and Mohammed Dahlan	5d352fc9a31c96127331901a920d44a9	[2:1:1]	160
Turkey	061	Cooperate economically	Gaza	d28c61d7e7eafd474ef011363fd575aa	[1:0:2]	163
Turkey	1123	Accuse of aggression	Gaza	d28c61d7e7eafd474ef011363fd575aa	[2:3:4]	164
Russia	062	Cooperate militarily	Syrian government	e463e8aee7184485f74db2b37b5d0826	[4:7:7]	165
Hezbollah	1411	Demonstrate or rally for leadership change	Syrian government	e463e8aee7184485f74db2b37b5d0826	[4:7:7]	167
The United States	062	Cooperate militarily	Mujahideen in Afghanistan	e463e8aee7184485f74db2b37b5d0826	[5:8:9]	168
Hamas and Mohammed Dahlan	060	Engage in material cooperation	IS	e1bcde2075aff48afea9882677469e83	[0:0:0]	178
Hamas and Mohammed Dahlan	062	Cooperate militarily	Islamic State	e1bcde2075aff48afea9882677469e83	[3:4:5]	179
Hamas and Mohammed Dahlan	062	Cooperate militarily	Islamic State	e1bcde2075aff48afea9882677469e83	[5:8:10]	180
Russia	062	Cooperate militarily	Syria	50e98bd0ec3d5376c5f55bf55a217cad	[2:2:3]	181
Russia	062	Cooperate militarily	Hezbollah	5338ae3c10103b88b8a8b5cbec553dd3	[2:4:8]	191
Major General Qasem Soleimani	1121	Accuse of crime, corruption	Badr Brigade Cmdr. Hadi al-Ameri	b8df1c3d514c018ff226aca7e3aafec2	[2:2:3]	198
Badr Brigade Cmdr. Hadi al-Ameri	062	Cooperate militarily	Major General Qasem Soleimani	b8df1c3d514c018ff226aca7e3aafec2	[2:2:3]	199
Major General Qasem Soleimani	062	Cooperate militarily	Imam Ali Brigade Cmdrs.	b8df1c3d514c018ff226aca7e3aafec2	[2:2:3]	200
Imam Ali Brigade Cmdrs.	062	Cooperate militarily	Major General Qasem Soleimani	b8df1c3d514c018ff226aca7e3aafec2	[2:2:3]	201
Shi'ite militia	062	Cooperate militarily	Iraqi Forces	b8df1c3d514c018ff226aca7e3aafec2	[3:4:5]	202
Thai Military	1042	Demand policy change	Russia	717cbd8b4baec9a61cd70740a70760b7	[1:0:3]	207
Russia	062	Cooperate militarily	Thailand	717cbd8b4baec9a61cd70740a70760b7	[2:4:7]	209
Israel	061	Cooperate economically	Turkey	785d69ead96d3ad3f1530c177d8d1ea3	[1:0:5]	212
Russia	062	Cooperate militarily	Syria	d63948502ffe285b17e70a7ca5c5b489	[1:0:3]	214
Russia	062	Cooperate militarily	Syria	d63948502ffe285b17e70a7ca5c5b489	[2:4:6]	215
Russia	0832	Accede to demands for change in policy	Syria	d63948502ffe285b17e70a7ca5c5b489	[5:15:17]	216
Iran Khodro	061	Cooperate economically	Azerbaijan	7780c2f6cde56c158e74ed153365d415	[1:0:5]	228
Russia	062	Cooperate militarily	Israel	0ad0c9df40fe5374f0277414479b17b9	[2:2:3]	229
Israel	060	Engage in material cooperation	Palestinian administrative detainee Mohammed Alan	423ce34f4f9205a7f2dde9edc653057d	[3:5:6]	230
Iraqi Forces	062	Cooperate militarily	Shi'ite Muslim groups	717553d68339bfd133dcc7ee5fcf1d67	[1:0:4]	231
Israeli authorities	060	Engage in material cooperation	Palestinian Dheisheh refugee camp	3d972c4eb1fc1b04169a2dd725e7065a	[1:0:10]	253
Baku	0256	Appeal for de-escalation of military engagement	Tehran	3cee336bbb85381b71ac3d8d53dd17a2	[0:0:0]	254
Qatar	061	Cooperate economically	Clinton Foundation	aeadd2267ad8286613e21e09ef311365	[13:52:58]	258
Clinton	1042	Demand policy change	Muslim community leaders	43068ab0eb9338ffdd04eb2db5865111	[5:11:13]	262
Israel	060	Engage in material cooperation	The United States	8431ee2b25e5d402fc0bd1ad3907fbdf	[1:0:2]	267
Iraqi government forces	0841	Return, release persons	Iran-backed	649ba2fbe8292c2f3995a54db8b052dd	[1:0:2]	280
Iraqi government	061	Cooperate economically	Western and Iranian allies	649ba2fbe8292c2f3995a54db8b052dd	[4:10:13]	281
Turkey	061	Cooperate economically	Gaza (projects)	db3287fe6c185e2e8463066f352064fe	[1:0:2]	286
Turkey	061	Cooperate economically	Gaza (projects)	db3287fe6c185e2e8463066f352064fe	[2:3:4]	287
Russian Defense Minister Sergei Shoigu	1244	Refuse to ease economic sanctions, boycott, or embargo	Defense Minister Hossein Dehghan	c7868fbb9b56b8fbd01c4e32d4535d36	[2:6:10]	288
Israeli military forces	1053	Demand release of persons or property	Hamas and Mohammed Dahlan	a08dcf65bf5e94798c8d30d76895f144	[1:0:0]	292
Hamas and Mohammed Dahlan	062	Cooperate militarily	Israeli military forces	a08dcf65bf5e94798c8d30d76895f144	[1:0:0]	293
Israel	064	Share intelligence or information	International Community	7dbd51e30245721308efc01174d85fb2	[5:16:20]	294
The United States	062	Cooperate militarily	Jordan	7dbd51e30245721308efc01174d85fb2	[6:21:24]	296
The United States	062	Cooperate militarily	Gulf states	7dbd51e30245721308efc01174d85fb2	[6:21:24]	298
Quds forces	062	Cooperate militarily	Hezbollah	d2bd3cfd7dfbb278affd19a0026deb6f	[3:10:13]	307
Quds forces	0311	Express intent to cooperate economically	Bashar al-Assad	d2bd3cfd7dfbb278affd19a0026deb6f	[3:10:13]	308
Princeton University	061	Cooperate economically	former Iranian ambassador Seyed Hossein Mousavian	0fd12160536b6243564a3ccd3369f999	[7:20:23]	318
Russia	060	Engage in material cooperation	Israel	c348faa25eebe1dc75c6a637b1b684dc	[1:0:3]	326
Russia's defense ministry	062	Cooperate militarily	Syria	c348faa25eebe1dc75c6a637b1b684dc	[4:13:16]	327
Israel	061	Cooperate economically	The United States	f177ec3e30f438edd4aec72f108a3624	[1:0:3]	328
Israel	061	Cooperate economically	Jordan	f177ec3e30f438edd4aec72f108a3624	[2:4:4]	330
Turkey	061	Cooperate economically	Israel	dc706c5705650810fe8b244b43ed8eaf	[1:0:3]	332
Israel	060	Engage in material cooperation	UNHRC	4d1eea4385bfa5b6d56fe7de7b443dad	[5:12:14]	333
Israel	062	Cooperate militarily	Hamas and Mohammed Dahlan	201a18b17695cb479dc33a27b90cac13	[1:0:4]	335
Beijing	061	Cooperate economically	Cairo	e15ccc347d46b212de8ec610b3f0ded3	[1:0:3]	336
Russia	062	Cooperate militarily	Syria	78cab62748ba638063e0d08ecd226eb3	[1:0:1]	343
Israel	062	Cooperate militarily	The United States	78cab62748ba638063e0d08ecd226eb3	[2:2:4]	344
